raw_title,year_hint,tmdb_id,matched_title,release_year,confidence,popularity,n_candidates,note
10 Things I Hate About You,1999,4951,10 Things I Hate About You,1999,auto,14.4,1,
1st Kiss,2025,1328862,1st Kiss,2025,auto,1.4,1,
2025 Masters Official Film,,1584826,2025 Masters Official Film,,auto,0.0,1,likely thin/absent ratings — IC score may be empty
3 Idiots,2009,20453,3 Idiots,2009,auto,21.8,1,
A Goofy Movie,1995,15789,A Goofy Movie,1995,auto,4.7,2,
A Knight's Tale,2001,9476,A Knight's Tale,2001,auto,6.1,1,
A Poet,2025,1465563,A Poet,2025,auto,3.0,10,
A Single Man,2009,34653,A Single Man,2009,auto,2.5,2,
About Time,2013,122906,About Time,2013,auto,13.1,2,
After the Hunt,2025,1265063,After the Hunt,2025,auto,3.8,1,
Alice in Wonderland,1951,12092,Alice in Wonderland,1951,auto,8.9,1,
Amélie,2001,194,Amélie,2001,auto,13.2,2,
Anaconda,2025,1234731,Anaconda,2025,auto,12.4,5,
Avatar,2009,19995,Avatar,2009,auto,34.8,5,
Avatar: Fire and Ash,2025,83533,Avatar: Fire and Ash,2025,auto,125.3,1,
Bambi,1942,3170,Bambi,1942,auto,5.3,2,
Beauty and the Beast,1991,10020,Beauty and the Beast,1991,auto,14.0,3,
Bend It Like Beckham,2002,455,Bend It Like Beckham,2002,auto,3.6,1,
Blue Moon,2025,1299655,Blue Moon,2025,auto,5.1,4,
Bohemian Rhapsody,2018,424694,Bohemian Rhapsody,2018,auto,8.9,1,
Bugonia,2025,701387,Bugonia,2025,auto,12.6,2,
Case 137,2025,1294698,Case 137,2025,auto,2.3,1,
Christy,2025,1287322,Christy,2025,auto,4.7,3,
Cinderella,1950,11224,Cinderella,1950,auto,10.5,2,
Close,2022,901563,Close,2022,auto,3.9,20,
Clueless,1995,9603,Clueless,1995,auto,3.3,1,
Coco,2017,354912,Coco,2017,auto,22.4,17,
Colours of Time,2025,1235304,Colours of Time,2025,auto,2.5,1,
Confessions of a Shopaholic,2009,20048,Confessions of a Shopaholic,2009,auto,2.6,1,
Copa 71,2023,951022,Copa 71,2024,auto,0.5,1,"year differs (LB 2023 / TMDB 2024); sole candidate, same film"
Crazy Rich Asians,2018,455207,Crazy Rich Asians,2018,auto,4.8,1,
Cruella,2021,337404,Cruella,2021,auto,14.9,1,
Dead Man's Wire,2025,1263012,Dead Man's Wire,2026,auto,4.9,1,"year differs (LB 2025 / TMDB 2026); sole candidate, same film"
Dead of Winter,2025,1235746,Dead of Winter,2025,auto,4.3,1,
Deadpool & Wolverine,2024,533535,Deadpool & Wolverine,2024,auto,32.7,2,
Diego Maradona,2019,536841,Diego Maradona,2019,auto,1.7,1,
Dilwale Dulhania Le Jayenge,1995,19404,Dilwale Dulhania Le Jayenge,1995,auto,14.0,1,
The Lorax,2012,73723,The Lorax,2012,auto,11.6,4,
F1,2025,911430,F1,2025,auto,29.3,6,
Far Far Away Idol,2004,58508,Far Far Away Idol,2004,auto,1.0,1,likely thin/absent ratings — IC score may be empty
Fast Five,2011,51497,Fast Five,2011,auto,1.5,2,
Fast X,2023,385687,Fast X,2023,auto,30.2,3,
Five Nights at Freddy's 2,2025,1228246,Five Nights at Freddy's 2,2025,auto,16.4,1,
GOAT,2026,1297842,GOAT,2026,auto,33.7,13,
Godzilla Minus One,2023,940721,Godzilla Minus One,2023,auto,11.1,1,
GoodFellas,1990,769,GoodFellas,1990,auto,29.2,1,
Grease,1978,621,Grease,1978,auto,11.1,3,
H Is for Hawk,2025,1243006,H Is for Hawk,2025,auto,2.7,1,
Hamnet,2025,858024,Hamnet,2025,auto,20.3,2,
Hannah Montana: The Movie,2009,18126,Hannah Montana: The Movie,2009,auto,3.3,1,
Harriet,2019,506528,Harriet,2019,auto,2.3,1,
Harry Potter and the Philosopher's Stone,2001,671,Harry Potter and the Philosopher's Stone,2001,auto,25.4,1,
Hercules,1997,11970,Hercules,1997,auto,9.1,10,
Hoosiers,1986,5693,Hoosiers,1986,auto,3.5,1,
How to Lose a Guy in 10 Days,2003,9919,How to Lose a Guy in 10 Days,2003,auto,8.3,1,
Hum Tum,2004,4253,Hum Tum,2004,auto,0.7,1,
Inception,2010,27205,Inception,2010,auto,54.3,3,
Instructions Not Included,2013,211954,Instructions Not Included,2013,auto,2.1,1,
Is This Thing On?,2025,1140498,Is This Thing On?,2025,auto,3.4,1,
It Was Just an Accident,2025,1456349,It Was Just an Accident,2025,auto,6.6,1,
"It's Never Over, Jeff Buckley",2025,1400381,"It's Never Over, Jeff Buckley",2025,auto,1.7,1,
John Wick,2014,245891,John Wick,2014,auto,10.3,1,
John Wick: Chapter 2,2017,324552,John Wick: Chapter 2,2017,auto,11.9,2,
John Wick: Chapter 3 – Parabellum,2019,458156,John Wick: Chapter 3 - Parabellum,2019,auto,9.8,1,
John Wick: Chapter 4,2023,603692,John Wick: Chapter 4,2023,auto,15.6,1,
Kicking & Screaming,2005,9981,Kicking & Screaming,2005,auto,1.8,1,
Kiss of the Spider Woman,2025,1214684,Kiss of the Spider Woman,2025,auto,1.7,1,
Lost Ladies,2023,1163194,Lost Ladies,2024,auto,0.5,1,"year differs (LB 2023 / TMDB 2024); sole candidate, same film"
Mother Tongue,2024,1217171,Mother Tongue,2024,auto,0.8,2,
Legally Blonde,2001,8835,Legally Blonde,2001,auto,13.0,1,
Lion,2016,334543,Lion,2016,auto,4.8,20,
Looking for Her,2022,1038157,Looking for Her,2022,auto,0.6,1,
Love Is All You Need,2012,126250,Love Is All You Need,2012,auto,1.5,1,
Love on Trial,2025,1433087,Love on Trial,2026,auto,1.4,1,"year differs (LB 2025 / TMDB 2026); sole candidate, same film"
"Love, Simon",2018,449176,"Love, Simon",2018,auto,6.4,1,
Mad Max: Fury Road,2015,76341,Mad Max: Fury Road,2015,auto,18.8,1,
Mahogany,1975,3554,Mahogany,1975,auto,0.8,1,
Mami Wata,2023,1013865,Mami Wata,2023,auto,1.3,1,
Mamma Mia!,2008,11631,Mamma Mia!,2008,auto,7.2,3,
Mamma Mia! Here We Go Again,2018,458423,Mamma Mia! Here We Go Again,2018,auto,3.9,1,
Man on Fire,2004,9509,Man on Fire,2004,auto,6.7,1,
Mannu Kya? Karegga,2025,1545576,Mannu Kya? Karegga,2025,auto,0.2,1,
Marty Supreme,2025,1317288,Marty Supreme,2025,auto,26.1,1,
McQueen,2018,508003,McQueen,2018,auto,2.1,3,
Mercy,2026,1236153,Mercy,2026,auto,19.1,20,
Midwinter Break,2026,1125701,Midwinter Break,2026,auto,3.7,1,
Milk,2008,10139,Milk,2008,auto,2.1,9,
Miss Boots,2024,988367,Miss Boots,2024,auto,0.8,1,
Moana,2016,277834,Moana,2016,auto,9.2,1,
Moana 2,2024,1241982,Moana 2,2024,auto,49.3,1,
Moonlight,2016,376867,Moonlight,2016,auto,7.5,4,
Mrs. Harris Goes to Paris,2022,754609,Mrs. Harris Goes to Paris,2022,auto,2.3,1,
Mulan,1998,10674,Mulan,1998,auto,15.3,8,
Murder on the Orient Express,2017,392044,Murder on the Orient Express,2017,auto,7.2,3,
Music Box: Wizkid: Long Live Lagos,2025,1465743,Music Box: Wizkid: Long Live Lagos,2025,auto,3.2,1,likely thin/absent ratings — IC score may be empty
My Father's Shadow,2025,1432605,My Father's Shadow,2025,auto,1.5,1,
My First of May,2025,1071646,My First of May,2025,auto,0.4,1,
My Old Ass,2024,947891,My Old Ass,2024,auto,2.9,1,
My Tennis Maestro,2025,1143973,My Tennis Maestro,2025,auto,2.4,1,
Napoleon Dynamite,2004,8193,Napoleon Dynamite,2004,auto,2.8,1,
Nirvanna the Band the Show the Movie,2025,1154538,Nirvanna the Band the Show the Movie,2026,auto,3.2,1,"year differs (LB 2025 / TMDB 2026); sole candidate, same film"
We Shall Not Be Moved,2024,1252505,We Shall Not Be Moved,2024,auto,0.7,1,
No Other Choice,2025,639988,No Other Choice,2025,auto,9.1,1,
Notting Hill,1999,509,Notting Hill,1999,auto,4.7,1,
On the Basis of Sex,2018,339380,On the Basis of Sex,2018,auto,3.0,1,
One Battle After Another,2025,1054867,One Battle After Another,2025,auto,19.3,1,
One Hundred and One Dalmatians,1961,12230,One Hundred and One Dalmatians,1961,auto,6.2,1,
Parasite,2019,496243,Parasite,2019,auto,27.1,4,
Paris Is Burning,1990,31225,Paris Is Burning,1991,auto,1.5,1,"year differs (LB 1990 / TMDB 1991); sole candidate, same film"
PAW Patrol: The Movie,2021,675445,PAW Patrol: The Movie,2021,auto,8.6,1,
Perfect Days,2023,976893,Perfect Days,2023,auto,14.0,1,
Phantom Thread,2017,400617,Phantom Thread,2017,auto,4.7,1,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,auto,18.3,1,
Play Dirty,2025,941109,Play Dirty,2025,auto,7.6,2,
Pocahontas,1995,10530,Pocahontas,1995,auto,5.7,7,
Point Break,1991,1089,Point Break,1991,auto,9.1,1,
Predator: Badlands,2025,1242898,Predator: Badlands,2025,auto,47.5,1,
Protector,2025,1383731,Protector,2026,review,19.5,11,year hint 2025 != top match 2026; 11 candidates — check remake/original
Puss in Boots,2011,417859,Puss in Boots,2011,auto,9.7,2,
Puss in Boots: The Three Diablos,2012,83201,Puss in Boots: The Three Diablos,2012,auto,3.7,1,
Puss in Boots: The Last Wish,2022,315162,Puss in Boots: The Last Wish,2022,auto,18.8,1,
Queen of Katwe,2016,317557,Queen of Katwe,2016,auto,2.7,1,
Raid 2,2025,1227128,Raid 2,2025,auto,1.5,1,
Regretting You,2025,1327862,Regretting You,2025,auto,16.1,1,
Rental Family,2025,1208348,Rental Family,2025,auto,7.5,1,
Rocketman,2019,504608,Rocketman,2019,auto,3.2,4,
Sarah's Oil,2025,1325678,Sarah's Oil,2025,auto,3.7,1,
Scooby-Doo,2002,9637,Scooby-Doo,2002,auto,7.6,6,
Scott Pilgrim vs. the World,2010,22538,Scott Pilgrim vs. the World,2010,auto,7.1,2,
Shaolin Soccer,2001,11770,Shaolin Soccer,2001,auto,42.4,1,
She's the Man,2006,9655,She's the Man,2006,auto,7.8,1,
Shrek,2001,808,Shrek,2001,auto,24.6,3,
Shrek 2,2004,809,Shrek 2,2004,auto,15.9,1,
Shrek the Third,2007,810,Shrek the Third,2007,auto,10.3,1,
Shrek Forever After,2010,10192,Shrek Forever After,2010,auto,12.0,1,
Shrek the Musical,2013,381696,Shrek the Musical,2013,auto,1.4,1,
Shutter Island,2010,11324,Shutter Island,2010,auto,17.7,1,
Sinners,2025,1233413,Sinners,2025,auto,28.3,8,
Sirāt,2025,1151272,Sirāt,2025,auto,5.0,1,
