10 Things I Hate About You	1999
1st Kiss	2025
2025 Masters Official Film
3 Idiots	2009
A Goofy Movie	1995
A Knight's Tale	2001
A Poet	2025
A Single Man	2009
About Time	2013
After the Hunt	2025
Alice in Wonderland	1951
Amélie	2001
Anaconda	2025
Avatar	2009
Avatar: Fire and Ash	2025
Bambi	1942
Beauty and the Beast	1991
Bend It Like Beckham	2002
Blue Moon	2025
Bohemian Rhapsody	2018
Bugonia	2025
Case 137	2025
Christy	2025
Cinderella	1950
Close	2022
Clueless	1995
Coco	2017
Colours of Time	2025
Confessions of a Shopaholic	2009
Copa 71	2023
Crazy Rich Asians	2018
Cruella	2021
Dead Man's Wire	2025
Dead of Winter	2025
Deadpool & Wolverine	2024
Diego Maradona	2019
Dilwale Dulhania Le Jayenge	1995
The Lorax	2012
F1	2025
Far Far Away Idol	2004
Fast Five	2011
Fast X	2023
Five Nights at Freddy's 2	2025
GOAT	2026
Godzilla Minus One	2023
GoodFellas	1990
Grease	1978
H Is for Hawk	2025
Hamnet	2025
Hannah Montana: The Movie	2009
Harriet	2019
Harry Potter and the Philosopher's Stone	2001
Hercules	1997
Hoosiers	1986
How to Lose a Guy in 10 Days	2003
Hum Tum	2004
Inception	2010
Instructions Not Included	2013
Is This Thing On?	2025
It Was Just an Accident	2025
It's Never Over, Jeff Buckley	2025
John Wick	2014
John Wick: Chapter 2	2017
John Wick: Chapter 3 – Parabellum	2019
John Wick: Chapter 4	2023
Kicking & Screaming	2005
Kiss of the Spider Woman	2025
Lost Ladies	2023
Mother Tongue	2024
Legally Blonde	2001
Lion	2016
Looking for Her	2022
Love Is All You Need	2012
Love on Trial	2025
Love, Simon	2018
Mad Max: Fury Road	2015
Mahogany	1975
Mami Wata	2023
Mamma Mia!	2008
Mamma Mia! Here We Go Again	2018
Man on Fire	2004
Mannu Kya? Karegga	2025
Marty Supreme	2025
McQueen	2018
Mercy	2026
Midwinter Break	2026
Milk	2008
Miss Boots	2024
Moana	2016
Moana 2	2024
Moonlight	2016
Mrs. Harris Goes to Paris	2022
Mulan	1998
Murder on the Orient Express	2017
Music Box: Wizkid: Long Live Lagos	2025
My Father's Shadow	2025
My First of May	2025
My Old Ass	2024
My Tennis Maestro	2025
Napoleon Dynamite	2004
Nirvanna the Band the Show the Movie	2025
We Shall Not Be Moved	2024
No Other Choice	2025
Notting Hill	1999
On the Basis of Sex	2018
One Battle After Another	2025
One Hundred and One Dalmatians	1961
Parasite	2019
Paris Is Burning	1990
PAW Patrol: The Movie	2021
Perfect Days	2023
Phantom Thread	2017
Pirates of the Caribbean: The Curse of the Black Pearl	2003
Play Dirty	2025
Pocahontas	1995
Point Break	1991
Predator: Badlands	2025
Protector	2025
Puss in Boots	2011
Puss in Boots: The Three Diablos	2012
Puss in Boots: The Last Wish	2022
Queen of Katwe	2016
Raid 2	2025
Regretting You	2025
Rental Family	2025
Rocketman	2019
Sarah's Oil	2025
Scooby-Doo	2002
Scott Pilgrim vs. the World	2010
Shaolin Soccer	2001
She's the Man	2006
Shrek	2001
Shrek 2	2004
Shrek the Third	2007
Shrek Forever After	2010
Shrek the Musical	2013
Shutter Island	2010
Sinners	2025
Sirāt	2025
Sleeping Beauty	1959
Solo Mio	2026
Song Sung Blue	2025
Springsteen: Deliver Me from Nowhere	2025
Spy Game	2001
Star Trek Beyond	2016
Star Trek II: The Wrath of Khan	1982
Taken	2008
Teen Titans Go! To the Movies	2018
The 2019 Masters: A Sunday Unlike Any Other	2024
The Accountant	2016
The Alabama Solution	2025
The Batman	2022
The Big Green	1995
The Birdcage	1996
The Bourne Identity	2002
The Bride!	2026
The Dark Knight	2008
The Devil Wears Prada	2006
The Family McMullen	2025
Shrek 3-D	2004
The Great Gatsby	2013
The Heist of the Century	2020
The Hunchback of Notre Dame	1996
The Lion King	1994
The Little Mermaid	1989
The Man from U.N.C.L.E.	2015
The Other Way Around	2024
The Richest Woman in the World	2025
The Running Man	2025
The Sandlot	1993
The Secret Agent	2025
The Shadow's Edge	2025
The Shawshank Redemption	1994
The SpongeBob SquarePants Movie	2004
The SpongeBob Movie: Sponge Out of Water	2015
The SpongeBob Movie: Sponge on the Run	2020
The SpongeBob Movie: Search for SquarePants	2025
The Stage	2025
The Way Way Back	2013
Tinā	2024
To Wong Foo, Thanks for Everything! Julie Newmar	1995
Tom & Jerry	2021
Top Gun: Maverick	2022
Toy Story	1995
ONE IN A MILL10N	2025
Vitória	2025
WALL·E	2008
We Girls	2025
Whale Rider	2002
What's Eating Gilbert Grape	1993
Why We Dream	2025
Wicked: For Good	2025
Wild	2014
Wuthering Heights	2026
X-Men: Days of Future Past	2014
Zoolander	2001
Zootopia	2016
Zootopia 2	2025
